Intersection_Name,Cycle,Phase_NS,Phase_EW
304THN,15,56,56
NVCNVL,15,10,102
NVCCMT8,15,56,56
32THN,15,18,94
304NVL,15,10,102
32NVL,15,102,10
32MT,15,19,93
NVCMT,16,56,56
304THN,16,56,56
NVCNVL,16,10,102
NVCCMT8,16,56,56
32THN,16,56,56
304NVL,16,10,102
32NVL,16,69,43
32MT,16,37,75
NVCMT,17,56,56
304THN,17,56,56
NVCNVL,17,10,102
NVCCMT8,17,56,56
32THN,17,56,56
304NVL,17,10,102
32NVL,17,102,10
32MT,17,36,76
NVCMT,18,10,102
304THN,18,56,56
NVCNVL,18,56,56
NVCCMT8,18,56,56
32THN,18,56,56
304NVL,18,10,102
32NVL,18,69,43
32MT,18,56,56
NVCMT,19,56,56
304THN,19,56,56
NVCNVL,19,56,56
NVCCMT8,19,56,56
32THN,19,10,102
304NVL,19,10,102
32NVL,19,102,10
32MT,19,23,89
NVCMT,20,56,56
304THN,20,56,56
NVCNVL,20,10,102
NVCCMT8,20,56,56
32THN,20,56,56
304NVL,20,43,69
32NVL,20,10,102
32MT,20,40,72
NVCMT,21,56,56
304THN,21,56,56
NVCNVL,21,10,102
NVCCMT8,21,56,56
32THN,21,56,56
304NVL,21,10,102
32NVL,21,102,10
32MT,21,44,68
NVCMT,22,56,56
304THN,22,56,56
NVCNVL,22,56,56
NVCCMT8,22,56,56
32THN,22,56,56
304NVL,22,10,102
32NVL,22,102,10
32MT,22,40,72
NVCMT,23,56,56
304THN,23,56,56
NVCNVL,23,10,102
NVCCMT8,23,56,56
32THN,23,56,56
304NVL,23,10,102
32NVL,23,102,10
32MT,23,33,79
NVCMT,24,56,56
304THN,24,56,56
NVCNVL,24,10,102
NVCCMT8,24,56,56
32THN,24,56,56
304NVL,24,10,102
32NVL,24,79,33
32MT,24,56,56
NVCMT,25,56,56
304THN,25,56,56
NVCNVL,25,56,56
NVCCMT8,25,56,56
32THN,25,56,56
304NVL,25,10,102
32NVL,25,98,14
32MT,25,56,56
NVCMT,26,56,56
304THN,26,56,56
NVCNVL,26,10,102
NVCCMT8,26,56,56
32THN,26,56,56
304NVL,26,10,102
32NVL,26,102,10
32MT,26,25,87
NVCMT,27,56,56
304THN,27,56,56
NVCNVL,27,56,56
NVCCMT8,27,10,102
32THN,27,56,56
304NVL,27,47,65
32NVL,27,10,102
32MT,27,56,56
NVCMT,28,56,56
304THN,28,56,56
NVCNVL,28,56,56
NVCCMT8,28,56,56
32THN,28,56,56
304NVL,28,10,102
32NVL,28,102,10
32MT,28,15,97
NVCMT,29,56,56
304THN,29,56,56
NVCNVL,29,10,102
NVCCMT8,29,56,56
32THN,29,56,56
304NVL,29,10,102
32NVL,29,99,13
32MT,29,56,56
NVCMT,30,56,56
304THN,30,56,56
NVCNVL,30,56,56
NVCCMT8,30,56,56
32THN,30,56,56
304NVL,30,10,102
32NVL,30,102,10
32MT,30,36,76
NVCMT,31,56,56
