Time_Seconds,Lane_ID,Phase_ID,Density_Phi,Pressure_W
10,32Nvl_L3_NS,NONE,0.008,0.0
10,32Nvl_L2_NS,32NVL_NS,0.008,0.008
10,32Nvl_L1_NS,32NVL_NS,0.007,0.007
20,32Nvl_L1_NS,32NVL_NS,0.007,0.007
30,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
30,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
35,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
35,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
45,32Mt_L1_NS,NONE,0.01,0.0
45,32Mt_L2_NS,NONE,0.009,0.0
50,32Mt_L1_NS,NONE,0.049,0.0
50,32Mt_L2_NS,NONE,0.043,0.0
55,32Nvl_L3_NS,NONE,0.042,0.0
55,32Nvl_L2_NS,32NVL_NS,0.039,0.039
55,32Mt_L1_NS,32MT_NS,0.006,0.006
55,32Mt_L1_EW,NONE,0.036,0.0
55,32Mt_L1_NS,NONE,0.01,0.0
55,32Nvl_L1_NS,32NVL_NS,0.034,0.034
55,32Mt_L2_NS,NONE,0.009,0.0
60,32Nvl_L3_NS,NONE,0.042,0.0
60,32Nvl_L2_NS,32NVL_NS,0.039,0.039
60,32Mt_L1_NS,32MT_NS,0.006,0.006
60,32Nvl_L1_NS,32NVL_NS,0.034,0.034
65,32Nvl_L3_NS,NONE,0.05,0.0
65,32Nvl_L2_NS,32NVL_NS,0.047,0.047
65,32Nvl_L1_NS,32NVL_NS,0.04,0.04
70,32Nvl_L3_NS,NONE,0.05,0.0
70,32Nvl_L2_NS,32NVL_NS,0.047,0.047
70,32Nvl_L1_NS,32NVL_NS,0.04,0.04
75,304Nvl_L1_EW,304NVL_EW,0.008,0.008
75,304Nvl_L2_EW,304NVL_EW,0.007,0.007
75,32Nvl_L3_NS,NONE,0.05,0.0
75,32Nvl_L2_NS,32NVL_NS,0.047,0.047
75,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
75,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
75,304Nvl_L3_EW,NONE,0.006,0.0
75,32Nvl_L1_NS,32NVL_NS,0.04,0.04
75,NvcNvl_L3_EW,NONE,0.009,0.0
80,304Nvl_L1_EW,304NVL_EW,0.017,0.017
80,304Nvl_L2_EW,304NVL_EW,0.007,0.007
80,32Nvl_L3_NS,NONE,0.05,0.0
80,32Nvl_L2_NS,32NVL_NS,0.047,0.047
80,304Nvl_L3_EW,NONE,0.006,0.0
80,32Nvl_L1_NS,32NVL_NS,0.04,0.04
85,304Nvl_L1_NS,NONE,0.007,0.0
85,32Nvl_L3_NS,NONE,0.058,0.0
85,32Nvl_L2_NS,32NVL_NS,0.055,0.055
85,NvcMt_L2_NS,NONE,0.005,0.0
85,32Nvl_L1_NS,32NVL_NS,0.047,0.047
85,NvcMt_L1_NS,NONE,0.005,0.0
90,304Nvl_L1_NS,NONE,0.007,0.0
90,32Nvl_L3_NS,NONE,0.058,0.0
90,32Nvl_L2_NS,32NVL_NS,0.055,0.055
90,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
90,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
90,32Nvl_L1_NS,32NVL_NS,0.047,0.047
90,NvcNvl_L3_EW,NONE,0.009,0.0
95,32Nvl_L3_NS,NONE,0.058,0.0
95,32Nvl_L2_NS,32NVL_NS,0.055,0.055
95,32Nvl_L1_NS,32NVL_NS,0.047,0.047
100,32Nvl_L3_NS,NONE,0.058,0.0
100,32Nvl_L2_NS,32NVL_NS,0.055,0.055
100,NvcMt_L2_NS,NONE,0.005,0.0
100,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
100,32Nvl_L1_NS,32NVL_NS,0.047,0.047
100,NvcMt_L1_NS,NONE,0.005,0.0
100,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
105,304Nvl_L1_EW,304NVL_EW,0.008,0.008
105,304Nvl_L2_EW,304NVL_EW,0.007,0.007
105,32Nvl_L3_NS,NONE,0.1,0.0
105,32Nvl_L2_NS,32NVL_NS,0.095,0.095
105,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
105,304Nvl_L3_EW,NONE,0.006,0.0
105,32Nvl_L1_NS,32NVL_NS,0.081,0.081
105,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
110,32Nvl_L3_NS,NONE,0.007,0.0
110,32Nvl_L1_NS,32NVL_NS,0.007,0.007
110,32Nvl_L3_NS,NONE,0.109,0.0
110,32Nvl_L2_NS,32NVL_NS,0.103,0.103
110,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
110,32Nvl_L2_NS,32NVL_NS,0.007,0.007
110,32Nvl_L1_NS,32NVL_NS,0.087,0.087
110,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
115,304Nvl_L1_EW,NONE,0.008,0.0
115,32Nvl_L3_NS,NONE,0.007,0.0
115,32Nvl_L1_NS,32NVL_NS,0.014,0.014
115,32Nvl_L3_NS,NONE,0.05,0.0
115,32Nvl_L2_NS,32NVL_NS,0.047,0.047
115,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
115,32Nvl_L2_NS,32NVL_NS,0.013,0.013
115,32Nvl_L1_NS,32NVL_NS,0.04,0.04
115,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
120,NvcNvl_L3_NS,NONE,0.081,0.0
120,NvcNvl_L2_NS,NONE,0.079,0.0
120,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
120,NvcNvl_L1_NS,NONE,0.105,0.0
120,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
125,32Nvl_L1_NS,32NVL_NS,0.035,0.035
125,32Nvl_L3_NS,NONE,0.042,0.0
125,32Nvl_L2_NS,32NVL_NS,0.039,0.039
125,32Mt_L1_EW,32MT_EW,0.007,0.007
125,NvcMt_L2_NS,NONE,0.005,0.0
125,32Nvl_L1_NS,32NVL_NS,0.04,0.04
125,32Mt_L2_EW,32MT_EW,0.005,0.005
125,NvcMt_L1_NS,NONE,0.005,0.0
130,32Nvl_L1_NS,32NVL_NS,0.035,0.035
130,32Mt_L1_EW,32MT_EW,0.007,0.007
130,NvcMt_L2_NS,NONE,0.005,0.0
130,NvcMt_L1_NS,NVCMT_NS,0.007,0.007
130,NvcCmt8_L2_NS,NONE,0.011,0.0
130,NvcCmt8_L1_NS,NONE,0.008,0.0
130,32Mt_L2_EW,32MT_EW,0.005,0.005
130,NvcMt_L1_NS,NONE,0.005,0.0
130,NvcMt_L2_NS,NVCMT_NS,0.005,0.005
135,304Nvl_L1_NS,304NVL_NS,0.009,0.009
135,304Nvl_L3_NS,NONE,0.007,0.0
135,32Mt_L1_EW,32MT_EW,0.007,0.007
135,304Nvl_L2_NS,304NVL_NS,0.008,0.008
135,32Mt_L2_EW,32MT_EW,0.005,0.005
140,32Mt_L1_EW,32MT_EW,0.014,0.014
140,NvcCmt8_L2_NS,NONE,0.012,0.0
140,32Mt_L2_EW,32MT_EW,0.011,0.011
140,NvcCmt8_L1_NS,NONE,0.011,0.0
145,NvcNvl_L3_NS,NONE,0.007,0.0
145,NvcNvl_L2_NS,NONE,0.007,0.0
145,32Mt_L1_EW,32MT_EW,0.014,0.014
145,32Mt_L1_NS,NONE,0.01,0.0
145,NvcMt_L2_NS,NONE,0.005,0.0
145,NvcNvl_L1_NS,NONE,0.009,0.0
145,32Mt_L2_EW,32MT_EW,0.011,0.011
145,32Mt_L2_NS,NONE,0.009,0.0
145,NvcMt_L1_NS,NONE,0.005,0.0
150,304Nvl_L1_NS,NONE,0.007,0.0
150,32Mt_L1_NS,32MT_NS,0.006,0.006
150,32Mt_L1_EW,32MT_EW,0.014,0.014
150,32Mt_L2_EW,32MT_EW,0.011,0.011
155,NvcNvl_L1_EW,NONE,0.011,0.0
155,NvcNvl_L2_EW,NONE,0.008,0.0
155,32Mt_L1_EW,32MT_EW,0.014,0.014
155,32Mt_L1_NS,NONE,0.01,0.0
155,32Mt_L2_EW,32MT_EW,0.011,0.011
155,32Mt_L2_NS,NONE,0.009,0.0
160,304Nvl_L1_NS,NONE,0.036,0.0
160,304Nvl_L3_NS,NONE,0.04,0.0
160,NvcNvl_L3_NS,NONE,0.007,0.0
160,NvcNvl_L2_NS,NONE,0.007,0.0
160,32Mt_L1_NS,32MT_NS,0.006,0.006
160,32Mt_L1_EW,32MT_EW,0.014,0.014
160,304Nvl_L2_NS,NONE,0.037,0.0
160,NvcNvl_L1_NS,NONE,0.009,0.0
160,32Mt_L2_EW,32MT_EW,0.011,0.011
165,32Mt_L1_EW,32MT_EW,0.014,0.014
165,32Mt_L1_NS,NONE,0.059,0.0
165,32Thn_L1_EW,32THN_EW,0.016,0.016
165,32Thn_L2_EW,32THN_EW,0.017,0.017
165,32Thn_L3_EW,NONE,0.016,0.0
165,32Mt_L2_EW,32MT_EW,0.011,0.011
165,32Mt_L2_NS,NONE,0.052,0.0
170,304Nvl_L1_EW,304NVL_EW,0.042,0.042
170,32Nvl_L3_NS,NONE,0.008,0.0
170,32Nvl_L2_NS,32NVL_NS,0.008,0.008
170,NvcNvl_L3_NS,NONE,0.007,0.0
170,NvcNvl_L2_NS,NONE,0.007,0.0
170,32Mt_L1_NS,NONE,0.01,0.0
170,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
170,32Thn_L1_EW,32THN_EW,0.016,0.016
170,32Thn_L2_EW,32THN_EW,0.017,0.017
170,32Thn_L3_EW,NONE,0.016,0.0
170,32Nvl_L1_NS,32NVL_NS,0.007,0.007
170,NvcNvl_L1_NS,NONE,0.009,0.0
170,32Mt_L2_NS,NONE,0.009,0.0
170,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
175,304Thn_L1_EW,NONE,0.007,0.0
175,304Thn_L2_EW,NONE,0.008,0.0
175,32Nvl_L3_NS,NONE,0.007,0.0
175,32Nvl_L1_NS,32NVL_NS,0.007,0.007
175,32Nvl_L3_NS,NONE,0.008,0.0
175,32Nvl_L2_NS,32NVL_NS,0.008,0.008
175,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
175,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
175,32Mt_L1_EW,NONE,0.036,0.0
175,32Mt_L1_EW,32MT_EW,0.007,0.007
175,NvcCmt8_L2_NS,NONE,0.054,0.0
175,32Thn_L1_EW,32THN_EW,0.008,0.008
175,32Thn_L2_EW,32THN_EW,0.008,0.008
175,NvcCmt8_L1_NS,NONE,0.039,0.0
175,32Thn_L3_EW,NONE,0.008,0.0
175,32Nvl_L2_NS,32NVL_NS,0.007,0.007
175,32Nvl_L1_NS,32NVL_NS,0.007,0.007
175,NvcNvl_L3_EW,NONE,0.009,0.0
175,304Thn_L3_EW,NONE,0.008,0.0
180,304Thn_L1_EW,304THN_EW,0.008,0.008
180,32Nvl_L1_EW,32NVL_EW,0.035,0.03
180,32Nvl_L2_EW,32NVL_EW,0.039,0.039
180,32Mt_L1_EW,NONE,0.014,0.0
180,32Mt_L1_EW,32MT_EW,0.007,-0.018
180,32Thn_L1_EW,NONE,0.019,0.0
180,32Nvl_L3_EW,NONE,0.031,0.0
180,32Nvl_L1_NS,32NVL_NS,0.007,0.007
185,32Nvl_L1_EW,32NVL_EW,0.035,0.03
185,32Nvl_L2_EW,32NVL_EW,0.039,0.033
185,NvcNvl_L3_NS,NONE,0.007,0.0
185,NvcNvl_L2_NS,NONE,0.007,0.0
185,NvcMt_L2_NS,NONE,0.063,0.0
185,32Thn_L1_EW,NONE,0.019,0.0
185,32Thn_L1_EW,32THN_EW,0.008,-0.017
185,32Thn_L2_EW,32THN_EW,0.008,-0.019
185,32Thn_L3_EW,NONE,0.008,0.0
185,32Nvl_L3_EW,NONE,0.031,0.0
185,32Nvl_L1_NS,32NVL_NS,0.007,0.007
185,NvcNvl_L1_NS,NONE,0.009,0.0
185,NvcMt_L1_NS,NONE,0.066,0.0
190,32Nvl_L1_EW,32NVL_EW,0.035,0.035
190,32Nvl_L2_EW,32NVL_EW,0.039,0.039
190,32Nvl_L3_EW,NONE,0.031,0.0
190,32Nvl_L1_NS,32NVL_NS,0.007,0.007
190,NvcCmt8_L1_NS,NONE,0.054,0.0
195,304Nvl_L1_EW,304NVL_EW,0.11,0.11
195,304Nvl_L2_EW,304NVL_EW,0.094,0.094
195,32Nvl_L1_EW,32NVL_EW,0.035,0.035
195,32Nvl_L2_EW,32NVL_EW,0.039,0.039
195,32Thn_L1_EW,NONE,0.01,0.0
195,304Nvl_L3_EW,NONE,0.082,0.0
195,32Nvl_L3_EW,NONE,0.031,0.0
200,304Nvl_L1_NS,304NVL_NS,0.009,0.009
200,304Nvl_L3_NS,NONE,0.007,0.0
200,304Nvl_L1_EW,304NVL_EW,0.11,0.11
200,304Nvl_L2_EW,304NVL_EW,0.094,0.094
200,32Nvl_L1_EW,32NVL_EW,0.035,0.035
200,32Nvl_L2_EW,32NVL_EW,0.039,0.039
200,32Nvl_L3_NS,NONE,0.017,0.0
200,32Nvl_L2_NS,32NVL_NS,0.016,0.01
200,32Mt_L1_NS,NONE,0.01,0.0
200,304Nvl_L2_NS,304NVL_NS,0.008,-0.003
200,304Nvl_L3_EW,NONE,0.082,0.0
200,32Nvl_L3_EW,NONE,0.031,0.0
200,32Nvl_L1_NS,32NVL_NS,0.013,0.007
200,32Mt_L2_NS,NONE,0.009,0.0
205,304Nvl_L1_NS,304NVL_NS,0.009,0.009
205,304Nvl_L3_NS,NONE,0.007,0.0
205,304Nvl_L1_EW,304NVL_EW,0.008,0.008
205,304Nvl_L2_EW,304NVL_EW,0.007,0.007
205,304Nvl_L1_NS,NONE,0.007,0.0
205,32Nvl_L1_EW,32NVL_EW,0.035,0.03
205,32Nvl_L2_EW,32NVL_EW,0.039,0.035
205,32Nvl_L2_NS,32NVL_NS,0.008,0.003
205,32Mt_L1_NS,32MT_NS,0.006,0.006
205,32Mt_L1_EW,32MT_EW,0.007,-0.018
205,NvcMt_L1_EW,NVCMT_EW,0.006,0.006
205,304Nvl_L2_NS,304NVL_NS,0.008,0.002
205,304Nvl_L3_EW,NONE,0.006,0.0
205,32Nvl_L3_EW,NONE,0.031,0.0
205,32Nvl_L1_NS,32NVL_NS,0.007,0.0
205,32Mt_L2_EW,32MT_EW,0.005,-0.022
205,NvcMt_L2_EW,NVCMT_EW,0.008,0.008
210,304Nvl_L1_NS,304NVL_NS,0.009,0.004
210,304Nvl_L3_NS,NONE,0.007,0.0
210,304Nvl_L1_EW,304NVL_EW,0.008,0.008
210,304Nvl_L2_EW,304NVL_EW,0.007,0.007
210,304Nvl_L1_NS,NONE,0.095,0.0
210,32Nvl_L1_NS,32NVL_NS,0.007,0.001
210,32Nvl_L1_EW,32NVL_EW,0.035,0.03
210,32Nvl_L2_EW,32NVL_EW,0.039,0.035
210,NvcNvl_L1_EW,NONE,0.011,0.0
210,NvcNvl_L2_EW,NONE,0.008,0.0
210,32Mt_L1_NS,32MT_NS,0.006,0.006
210,32Mt_L1_EW,32MT_EW,0.007,-0.018
210,32Mt_L1_NS,NONE,0.01,0.0
210,304Nvl_L2_NS,304NVL_NS,0.008,0.008
210,304Nvl_L3_EW,NONE,0.006,0.0
210,32Nvl_L3_EW,NONE,0.031,0.0
210,32Nvl_L1_NS,32NVL_NS,0.007,0.0
210,NvcNvl_L3_EW,NONE,0.006,0.0
210,32Mt_L2_EW,32MT_EW,0.005,-0.022
215,304Nvl_L1_NS,304NVL_NS,0.018,0.018
215,304Nvl_L3_NS,NONE,0.007,0.0
215,32Nvl_L1_EW,32NVL_EW,0.035,0.035
215,32Nvl_L2_EW,32NVL_EW,0.039,0.039
215,NvcNvl_L3_NS,NONE,0.007,0.0
215,NvcNvl_L2_NS,NONE,0.007,0.0
215,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
215,32Mt_L1_NS,32MT_NS,0.006,0.006
215,32Mt_L1_NS,NONE,0.01,0.0
215,304Nvl_L2_NS,304NVL_NS,0.008,0.008
215,32Nvl_L3_EW,NONE,0.031,0.0
215,NvcNvl_L1_NS,NONE,0.009,0.0
215,32Mt_L2_NS,NONE,0.009,0.0
220,304Nvl_L1_NS,304NVL_NS,0.018,0.018
220,304Nvl_L3_NS,NONE,0.007,0.0
220,304Nvl_L1_NS,NONE,0.007,0.0
220,32Nvl_L3_NS,NONE,0.008,0.0
220,32Nvl_L2_NS,32NVL_NS,0.008,0.003
220,32Mt_L1_NS,32MT_NS,0.006,0.006
220,32Mt_L1_EW,32MT_EW,0.007,0.007
220,32Thn_L1_EW,32THN_EW,0.008,0.008
220,32Thn_L2_EW,32THN_EW,0.008,0.008
220,32Thn_L3_EW,NONE,0.008,0.0
220,304Nvl_L2_NS,304NVL_NS,0.008,0.002
220,32Nvl_L1_NS,32NVL_NS,0.007,-0.006
220,32Mt_L2_NS,32MT_NS,0.006,0.006
225,304Nvl_L1_NS,304NVL_NS,0.018,0.018
225,304Nvl_L3_NS,NONE,0.007,0.0
225,304Nvl_L1_EW,304NVL_EW,0.11,0.11
225,304Nvl_L2_EW,304NVL_EW,0.094,0.094
225,32Nvl_L3_NS,NONE,0.008,0.0
225,32Nvl_L2_NS,32NVL_NS,0.008,0.003
225,32Mt_L1_NS,32MT_NS,0.006,0.006
225,32Thn_L1_EW,NONE,0.01,0.0
225,32Thn_L1_EW,32THN_EW,0.008,0.008
225,32Thn_L2_EW,32THN_EW,0.008,0.008
225,32Thn_L3_EW,NONE,0.008,0.0
225,304Nvl_L2_NS,304NVL_NS,0.008,0.002
225,304Nvl_L3_EW,NONE,0.082,0.0
225,32Nvl_L1_NS,32NVL_NS,0.04,0.028
225,32Mt_L2_NS,32MT_NS,0.006,0.006
230,304Nvl_L1_EW,304NVL_EW,0.127,0.127
230,304Nvl_L2_EW,304NVL_EW,0.109,0.109
230,32Nvl_L1_NS,32NVL_NS,0.007,0.007
230,32Nvl_L3_NS,NONE,0.008,0.0
230,32Nvl_L2_NS,32NVL_NS,0.008,0.008
230,32Mt_L1_NS,32MT_NS,0.006,0.006
230,32Thn_L1_EW,32THN_EW,0.016,0.016
230,32Thn_L2_EW,32THN_EW,0.017,0.017
230,32Thn_L3_EW,NONE,0.016,0.0
230,304Nvl_L3_EW,NONE,0.095,0.0
230,32Nvl_L2_NS,32NVL_NS,0.007,0.007
230,32Nvl_L1_NS,32NVL_NS,0.04,0.04
230,32Mt_L2_NS,32MT_NS,0.006,0.006
235,304Nvl_L1_EW,304NVL_EW,0.127,0.127
235,304Nvl_L2_EW,304NVL_EW,0.116,0.116
235,304Nvl_L1_NS,NONE,0.007,0.0
235,304Nvl_L3_NS,NONE,0.008,0.0
235,32Mt_L1_EW,NONE,0.007,0.0
235,32Mt_L3_EW,NONE,0.009,0.0
235,32Mt_L1_EW,32MT_EW,0.007,0.007
235,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
235,32Thn_L1_EW,32THN_EW,0.016,0.016
235,32Thn_L2_EW,32THN_EW,0.017,0.017
235,32Thn_L3_EW,NONE,0.016,0.0
235,304Nvl_L3_EW,NONE,0.101,0.0
235,304Nvl_L2_NS,NONE,0.007,0.0
235,32Mt_L2_EW,NONE,0.008,0.0
235,32Mt_L2_EW,32MT_EW,0.005,0.005
235,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
240,304Nvl_L1_NS,304NVL_NS,0.009,-0.054
240,304Nvl_L3_NS,NONE,0.007,0.0
240,304Nvl_L1_EW,304NVL_EW,0.161,0.161
240,304Nvl_L2_EW,304NVL_EW,0.138,0.138
240,304Nvl_L1_NS,NONE,0.007,0.0
240,32Nvl_L3_NS,NONE,0.089,0.0
240,32Nvl_L1_NS,32NVL_NS,0.09,0.084
240,32Nvl_L1_EW,32NVL_EW,0.007,-0.009
240,32Nvl_L2_EW,32NVL_EW,0.007,-0.006
240,32Nvl_L3_NS,NONE,0.008,0.0
240,32Nvl_L2_NS,32NVL_NS,0.008,0.003
240,NvcNvl_L3_NS,NONE,0.007,0.0
240,NvcNvl_L2_NS,NONE,0.007,0.0
240,32Mt_L1_EW,32MT_EW,0.014,0.014
240,32Mt_L1_NS,NONE,0.01,0.0
240,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
240,32Thn_L1_EW,NONE,0.01,0.0
240,32Thn_L1_EW,32THN_EW,0.008,0.008
240,32Thn_L2_EW,32THN_EW,0.008,0.008
240,32Thn_L3_EW,NONE,0.008,0.0
240,304Nvl_L2_NS,304NVL_NS,0.008,0.002
240,304Nvl_L3_EW,NONE,0.12,0.0
240,32Nvl_L2_NS,32NVL_NS,0.087,0.081
240,32Nvl_L3_EW,NONE,0.006,0.0
240,32Nvl_L1_NS,32NVL_NS,0.007,0.0
240,NvcNvl_L1_NS,NONE,0.009,0.0
240,32Mt_L2_EW,32MT_EW,0.011,0.011
240,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
245,304Nvl_L1_NS,304NVL_NS,0.009,-0.001
245,304Nvl_L3_NS,NONE,0.007,0.0
245,304Nvl_L1_EW,304NVL_EW,0.017,0.017
245,304Nvl_L2_EW,304NVL_EW,0.007,0.007
245,32Nvl_L3_NS,NONE,0.007,0.0
245,32Nvl_L1_NS,32NVL_NS,0.014,0.008
245,32Nvl_L1_EW,32NVL_EW,0.007,-0.014
245,32Nvl_L2_EW,32NVL_EW,0.007,-0.01
245,NvcNvl_L3_NS,NONE,0.007,0.0
245,NvcNvl_L2_NS,NONE,0.007,0.0
245,32Mt_L1_EW,32MT_EW,0.021,0.021
245,NvcCmt8_L2_EW,NVCCMT8_EW,0.005,0.005
245,32Thn_L1_EW,32THN_EW,0.008,0.008
245,32Thn_L2_EW,32THN_EW,0.008,0.008
245,32Thn_L3_EW,NONE,0.008,0.0
245,304Nvl_L2_NS,304NVL_NS,0.008,0.008
245,304Nvl_L3_EW,NONE,0.006,0.0
245,32Nvl_L2_NS,32NVL_NS,0.013,0.008
245,32Nvl_L3_EW,NONE,0.006,0.0
245,NvcNvl_L1_NS,NONE,0.009,0.0
245,32Mt_L2_EW,32MT_EW,0.016,0.016
245,NvcCmt8_L1_EW,NVCCMT8_EW,0.008,0.008
250,304Nvl_L1_NS,304NVL_NS,0.018,0.018
250,304Nvl_L3_NS,NONE,0.007,0.0
250,304Nvl_L1_EW,304NVL_EW,0.008,0.008
250,32Nvl_L1_EW,32NVL_EW,0.013,-0.007
250,32Nvl_L2_EW,32NVL_EW,0.015,-0.002
250,NvcNvl_L3_NS,NONE,0.007,0.0
250,NvcNvl_L2_NS,NONE,0.007,0.0
250,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
250,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
250,32Mt_L1_EW,NONE,0.014,0.0
250,32Mt_L3_EW,NONE,0.009,0.0
250,32Mt_L1_EW,32MT_EW,0.021,0.021
250,32Thn_L1_EW,32THN_EW,0.008,0.008
250,32Thn_L2_EW,32THN_EW,0.008,0.008
250,32Thn_L3_EW,NONE,0.008,0.0
250,304Nvl_L2_NS,304NVL_NS,0.008,0.008
250,32Nvl_L3_EW,NONE,0.012,0.0
250,32Nvl_L1_NS,32NVL_NS,0.087,0.075
250,NvcNvl_L1_NS,NONE,0.009,0.0
250,NvcNvl_L3_EW,NONE,0.009,0.0
250,32Mt_L2_EW,NONE,0.008,0.0
250,32Mt_L2_EW,32MT_EW,0.016,0.016
250,NvcCmt8_L1_EW,NONE,0.006,0.0
255,304Nvl_L1_NS,304NVL_NS,0.018,0.018
255,304Nvl_L3_NS,NONE,0.007,0.0
255,304Nvl_L1_EW,304NVL_EW,0.008,0.008
255,304Nvl_L2_EW,304NVL_EW,0.007,0.007
255,304Nvl_L1_NS,NONE,0.088,0.0
255,32Nvl_L1_EW,32NVL_EW,0.02,-0.005
255,32Nvl_L2_EW,32NVL_EW,0.022,0.001
255,NvcNvl_L1_EW,NVCNVL_EW,0.007,0.007
255,NvcNvl_L2_EW,NVCNVL_EW,0.008,0.008
255,32Mt_L1_EW,NONE,0.007,0.0
255,32Mt_L1_EW,32MT_EW,0.028,0.028
255,32Mt_L1_NS,NONE,0.01,0.0
255,32Thn_L1_EW,32THN_EW,0.008,0.008
255,32Thn_L2_EW,32THN_EW,0.008,0.008
255,32Thn_L3_EW,NONE,0.008,0.0
255,304Nvl_L2_NS,304NVL_NS,0.008,0.008
255,32Nvl_L3_EW,NONE,0.018,0.0
255,32Nvl_L1_NS,32NVL_NS,0.081,0.068
255,NvcNvl_L3_EW,NONE,0.009,0.0
255,32Mt_L2_EW,NONE,0.008,0.0
255,32Mt_L2_EW,32MT_EW,0.022,0.022
255,32Mt_L2_NS,NONE,0.009,0.0
260,304Nvl_L1_NS,304NVL_NS,0.018,0.018
260,304Nvl_L3_NS,NONE,0.007,0.0
260,304Nvl_L1_EW,304NVL_EW,0.017,0.017
260,304Nvl_L2_EW,304NVL_EW,0.007,0.007
260,304Nvl_L1_NS,NONE,0.095,0.0
260,32Nvl_L1_EW,32NVL_EW,0.02,0.001
260,32Nvl_L2_EW,32NVL_EW,0.022,0.007
260,NvcNvl_L1_EW,NVCNVL_EW,0.042,0.042
260,NvcNvl_L2_EW,NVCNVL_EW,0.047,0.047
260,32Mt_L1_NS,32MT_NS,0.006,0.006
260,32Mt_L1_EW,NONE,0.007,0.0
260,32Mt_L3_EW,NONE,0.009,0.0
260,32Mt_L1_EW,32MT_EW,0.028,0.028
260,32Thn_L1_EW,NONE,0.01,0.0
260,304Nvl_L2_NS,304NVL_NS,0.008,0.008
260,32Nvl_L3_EW,NONE,0.018,0.0
260,NvcNvl_L3_EW,NONE,0.056,0.0
260,32Mt_L2_EW,NONE,0.008,0.0
260,32Mt_L2_EW,32MT_EW,0.022,0.022
265,304Nvl_L1_NS,304NVL_NS,0.009,0.004
265,304Nvl_L3_NS,NONE,0.007,0.0
265,304Nvl_L1_NS,NONE,0.015,0.0
265,32Nvl_L3_NS,NONE,0.007,0.0
265,32Nvl_L1_NS,32NVL_NS,0.007,0.001
265,32Nvl_L1_EW,32NVL_EW,0.02,-0.004
265,32Nvl_L2_EW,32NVL_EW,0.022,0.003
265,NvcNvl_L1_EW,NONE,0.011,0.0
265,NvcNvl_L2_EW,NONE,0.008,0.0
265,NvcNvl_L1_EW,NVCNVL_EW,0.049,0.049
265,NvcNvl_L2_EW,NVCNVL_EW,0.055,0.055
265,32Mt_L1_EW,NONE,0.007,0.0
265,32Mt_L3_EW,NONE,0.009,0.0
265,32Mt_L1_EW,32MT_EW,0.035,0.035
265,32Thn_L1_EW,NONE,0.01,0.0
265,304Nvl_L2_NS,304NVL_NS,0.008,0.008
265,32Nvl_L2_NS,32NVL_NS,0.007,0.001
265,32Nvl_L3_EW,NONE,0.018,0.0
265,NvcNvl_L3_EW,NONE,0.006,0.0
265,NvcNvl_L3_EW,NONE,0.065,0.0
265,32Mt_L2_EW,NONE,0.008,0.0
265,32Mt_L2_EW,32MT_EW,0.027,0.027
270,304Nvl_L1_NS,304NVL_NS,0.009,0.009
270,304Nvl_L3_NS,NONE,0.007,0.0
270,32Nvl_L1_EW,32NVL_EW,0.013,-0.016
270,32Nvl_L2_EW,32NVL_EW,0.015,-0.004
270,NvcNvl_L3_NS,NONE,0.007,0.0
270,NvcNvl_L2_NS,NONE,0.007,0.0
270,NvcNvl_L1_EW,NONE,0.021,0.0
270,NvcNvl_L2_EW,NONE,0.015,0.0
270,NvcNvl_L1_EW,NVCNVL_EW,0.049,0.049
270,NvcNvl_L2_EW,NVCNVL_EW,0.055,0.055
270,32Mt_L1_EW,NONE,0.036,0.0
270,32Mt_L3_EW,NONE,0.044,0.0
270,32Mt_L1_EW,32MT_EW,0.042,0.042
270,304Nvl_L2_NS,304NVL_NS,0.008,0.008
270,32Nvl_L3_EW,NONE,0.012,0.0
